timestamp,pb37,Todd,HelloKitty_UwU,Pipo,Silence,crowdpleaser,4DogsOnAJog,Christopher,Wowee,crowdpleaser5,Deonnar,TvrdaBatina,Nigatoni,Erebos,Kampfdackel,TT.exe,3CatsInAHat,TheEnd,Altitude,klein,HEMSİNLİ,PonyRiders,Bangdad
2026-05-04 02:26,176284,146189,103832,85977,82860,78348,65050,63735,57138,56507,40943,,,,,,,,,,,,
2026-05-04 10:34,,940972,2109944,1369479,1747822,1788150,1197509,,871194,,153510,1068230,995249,818075,,,,,,,,,
2026-05-04 17:34,,1816126,3510521,2354218,3004441,2769999,1971408,,1454478,,351024,1824818,1659303,,1412378,,,,,,,,
2026-05-04 19:11,,1922795,3697365,2354218,3160010,2889549,2082352,,1551814,,402965,1901753,1795525,,1476788,,,,,,,,
2026-05-04 20:43,,2187655,4102664,2570637,3502211,3134269,2298823,,1770015,,443442,2157125,1962544,,1684496,,,,,,,,
2026-05-04 22:32,,2393615,4502900,2843971,3829954,3413881,2513038,,2003614,,499150,2305290,2151807,,1846690,,,,,,,,
2026-05-05 00:43,,2599049,4860221,3210078,4108365,3656922,2719680,,2162719,,554552,2486298,2309349,,2067652,,,,,,,,
2026-05-05 10:12,,3401643,6924249,4124162,5661338,5207869,3848691,,3163501,,694859,3434312,3300647,,2930287,,,,,,,,
2026-05-05 11:05,,3423947,7042958,4180528,5865622,5355379,3971852,,3243901,,724898,3557277,3387658,,3015393,,,,,,,,
2026-05-05 15:19,,3942527,7787237,4711162,6518070,5917078,4385739,,3668579,,955197,3947944,3754412,,,3424382,,,,,,,
2026-05-05 19:00,,4493146,8540283,5290525,7248524,6520414,4752543,,4044342,,1095696,4353158,4053878,,,3882623,,,,,,,
2026-05-06 01:36,,5362391,,,8445631,,5440709,,,,1310903,5130418,,,,,3368680,3069252,2370769,2149224,1776865,1736276,
2026-05-06 09:40,,6077988,11575494,7475152,9756471,8967862,6438358,,5492511,,1521528,6016716,5381114,,,5615110,,,,,,,
2026-05-06 21:47,,7687606,13635499,8979153,11613066,10819817,7568374,,6675410,,2017734,7478006,6432517,,,7471010,,,,,,,
2026-05-07 01:39,,8265463,14366809,9472798,12019620,11361937,7942149,,7017470,,2177413,7915459,6747267,,,7677198,,,,,,,
2026-05-07 13:42,,9672121,16831545,10484090,14341533,13376434,9245930,,8458414,,2423249,9359124,,,,9279877,,,,,,,8309804
2026-05-07 18:38,,10422142,17804354,11332455,15266553,14086032,9684912,,9002589,,2579592,9818533,,,,10158460,,,,,,,8893688
2026-05-08 01:55,,11522084,19145002,12423902,16435185,15053336,10275841,,9669046,,2795696,10468254,,,,10987993,,,,,,,9639018
